revenue_ttm_billion,price_gbp,earnings_ttm_billion,pe_ratio_ttm,marketcap_billion,dividend_yield_ttm,gdp_per_capita,gdp_growth_2024,inflation_rate,interest_rate,exchange_rate,unemployment_rate
10.5193,88.920732,1.3740052,3.18686e-08,16.60981831119515,2.355509999999999e-07,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.8072,7.672480024,-0.3262,-1.7985899999999e-09,0.9733998280857,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.069248,7.8900958,0.050367,-2.65553e-09,0.1840191187046,8.561569999999997e-07,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.032772,7.4062512,-0.459253,-4.29018e-09,2.2479008901427,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
2.819611,38.1665764,0.267605,-4.42368e-08,3.4414613674803,3.96589e-07,0.000115,0.087,0.023,0.0025,1.0,0.025
0.071053614,0.18363236,-0.0073256,-8.71522e-10,0.00494321778588,0.0,4.71e-05,0.02,0.03,0.045,0.74074,0.055
0.387521,44.789227936,0.092375,3.7132100000000003e-08,2.615579043543,8.130079999999989e-08,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.255807,2.15596582,-0.001987,9.683046749999992e-08,0.09290056489792,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.042935,20.1309832,-0.004353,-1.13391e-08,0.1626047998028,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.16918,21.7310992,0.054879,1.14118e-08,0.3628311368742,2.74914e-07,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.069569903,6.7354520944,-0.0129143,-2.58004e-08,0.5300221868704,0.0,4.71e-05,0.02,0.03,0.045,0.74074,0.055
0.111793,1.0134068,-0.247082,-8.59817e-10,0.01299846308216,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
11.364748,153.4701734,1.3740052,1.6219799999999998e-08,16.60981831119515,1.928609999999999e-07,7.4e-05,0.02,0.035,0.055,1.0,0.035
3.66149,31.5946714,0.065178,8.03846e-08,1.258305181655,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.284942,1.7296492,-0.167519,-1.50968e-09,0.0312941970457599,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.000496,0.449861184,-0.128224,-4.80317e-10,0.0531326533619199,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.00654,2.514544196,-0.1568,-4.82609e-09,0.1349012752523999,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
4.82012542,2.1487272,1.34867,2.5004699999999997e-09,2.9723988890112,8.561569999999997e-07,1.637e-05,0.023,0.0559999999999999,0.1,0.00118,0.07
0.314563,9.4387795,-0.006255,-7.87072899999999e-08,0.2965343505151,1.85185e-07,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.226957,0.929667396,-0.015442,-7.87072899999999e-08,1.7590794356326,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
2.151748,66.1838456,0.600765,2.81801e-08,11.180503925105,1.11821e-07,7.4e-05,0.02,0.035,0.055,1.0,0.035
2.342024,80.9087226,0.8514,1.056e-08,5.3804622594253,1.5955e-07,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.199143,10.5607656,0.022022,1.83466999999999e-08,0.3518456242918,3.48837e-07,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.092874,0.647742196,-0.007934,-7.098319999999997e-10,0.02120928156144,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.072911,1.430351312,-0.019987,-5.05834e-11,0.01525698567032,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
11.364748,30.6003136,1.3740052,1.88286e-08,16.60981831119515,3.665179999999999e-07,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.555095,10.9684142,-0.023702,9.683046749999992e-08,1.2759227696947,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.021568,1.1505596,-0.015026,-3.81699e-11,0.0079440387582,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.01196,23.4836072,-0.191387,-2.12413999999999e-08,1.9839304424346,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.707843,2.0306234,-0.275732,-2.2231399999999e-09,0.6602652829055,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
11.364748,27.5219952,1.055,1.18633e-08,6.2686568675327,1.19728e-07,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.126116,18.9194668,-0.051214,-1.26114e-08,0.8729101537791999,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.048616,3.36329144,-0.859221,-2.71519e-09,0.1701731351339999,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.05839,18.591824,0.013596,9.00369e-09,0.0875860828639999,3.60656e-07,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.012265069,5.943288,-0.00102452,-3.39048e-08,0.0552713897424,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.014405,0.0304784,-0.01538,-4.54545e-11,0.00195334236896,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
5.629,3.8783764,0.101,-1.25862e-09,0.4315585878246,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
